Q184827	American alternative/progressive metal band
Q845465	Jamaican reggae/ska/rocksteady band
Q139549	Finnish-Swedish author, poet, historian, professor and rector of Helsinki University (1818–1898)
Q4247	Swiss teacher, author, painter, cartoonist, and caricature artist (1799-1846)
Q1072396	Great Khatun of the Mongul Empire
Q208582	Japanese manga artist and character designer (1955-2024)
Q5207929	Indian film director
Q295262	Brazilian association football player and manager (1944-2016)
Q356808	Spanish explorer
Q463578	Cuban volleyball player
Q102490	Italian physicist and mathematician (1608-1647)
Q332055	Panamanian dictator who ruled Panama 1968–1981 (1929–1981)
Q366166	Italian-American mob boss (1882–1957)
Q956020	Japanese video game designer, creator of Pac-Man (born 1955)
Q514066	American stand-up comedian and television host
Q159707	king of the Ostrogoths and King of Italy (541–552)
Q2291	Italian actor (1898–1967)
Q207472	American rock band
Q155402	President of Guinea (1922-1984)
Q334947	Malian musician (1939–2006)
Q231516	Soviet-Ukrainian artistic gymnast (born 1952)
Q55393	French film director (1904–1977)
Q184566	20th-century American physicist
Q26933	British musician
Q185381	British historian (1889–1975)
Q358556	Japanese businessman (1894–1952)
Q1141740	Japanese industrialist (1913–2013)
Q137727	Japanese inventor and industrialist (1867–1930)
Q3087294	Japanese artist (1838-1912)
Q950316	Japanese artist (1769-1825)
Q1141298	Japanese professional wrestler
Q71275	American actor (1900–1967)
Q2044035	English poet
Q1347181	Vietnamese scholar and poet (1380–1442)
Q889173	King of Siam
Q557546	French-Vietnamese filmmaker (born 1962)
Q665382	Vietnamese scholar and politician (1883–1953)
Q711456	Emperor of Vietnam
Q42122	Swedish poet, psychologist and translator (1931-2015)
Q313242	Malian former dictator (1936-2020)
Q228901	Australian-British novelist, actress and journalist (1899–1996)
Q890207	American film critic and journalist
Q711818	Alamo commander and defender (1809–1836)
Q80938	American actor (born 1954)
Q929985	Canadian and American  game show host and TV personality (1940–2020)
Q557575	Russian poet, translator, philologist
Q62400	Historian, political writer (1834-1896)
Q336065	Royal Flying Corps commander and first Royal Air Force Chief of the Air Staff (1873-1956)
Q212549	French singer-songwriter
Q316864	Soviet ice hockey player
Q314061	Russian businessman (1832-1898)
Q1373357	British historian (1876–1962)
Q950128	American golfer
Q60309	German biologist (1776-1837)
Q62277	German botanist (1779-1864)
Q217157	British inventor and mining engineer (1771-1833)
Q335087	British historian (1914-2003)
Q233850	American actress (1910–2000)
Q300602	American hip hop group
Q310628	Byzantine jurist (c. 485–542)
Q133730	Danish film director and screenwriter (born 1956)
Q269989	3rd-century Vietnamese warrior
Q1309177	Australian businessman
Q1827287	American literary critic (1905–1975)
Q192556	First Minister of Northern Ireland from 1998 to 2002
Q513108	Vietnamese singer, songwriter (1939-2001)
Q106204	French actor (1930–2022)
Q8677	American commercial aviation pioneer and founder of Pan American World Airways (1899–1981)
Q366661	Emperor of Tibet
Q918334	American evolutionary biologist and sociobiologist
Q441235	French general, President of the National Defence Council (1815-1896)
Q53035	Italian actor, film director, and poet (1953–1994)
Q318399	English novelist of the Victorian period (1815-1882)
Q470200	Dutch admiral (1598-1653)
Q706525	Italian philosopher and politician (1931–2023)
Q16206163	medical practitioner and writer
Q65898	German general (1848-1920)
Q159491	Russian linguist (1890-1938)
Q3099714	23rd prime minister of Canada from 2015 to 2025
Q242064	last full-blooded Palawa person
Q350666	American screenwriter (1905–1976)
Q548323	Tibetan Buddhist lama and writer (1939-1987)
Q233984	14th and 15th President of Republic of China (Taiwan)
Q51101	Taiwanese singer, songwriter, and actress (born 1980)
Q698710	Malaysian-Taiwanese filmmaker (born 1957)
Q15024	Hong Kong politician (born 1944)
Q25251	sixth Dalai Lama of Tibet (1683-1706)
Q455232	graphic designer (1902–1974)
Q275025	Prime Minister and President of Mongolia (1916-1991)
Q29032770	president of the Democratic Republic of the Congo
Q333500	Chinese rocket scientist (1911-2009)
Q41239	Russian and Soviet rocket scientist and pioneer of the astronautic theory (1857-1935)
Q315944	First President of Madagascar (1959-1972)
Q1500297	Greek songwriter and bouzouki player (1915–1984)
Q2416269	Russian general
Q464086	Semi-mythical female deity in Tibetan Buddhism
Q487125	Soviet rock musician (1962-1990)
Q471242	Greek army officer and collaborationist prime minister (1886-1948)
Q323439	Tibetan Buddhist monk, philosopher, and guru (c. 1357–1419)
Q2466933	Japanese film director (1901-1970)
Q202138	Chinese-American physicist, Nobel laureate
Q2639866	Georgian singer
Q188526	Russian poet (1892 – 1941)
Q462843	Chinese medical scientist
Q3279442	Chinese-American geographer (1930-2022)
Q301707	Liberian politician, 19th president of Liberia (1895-1971)
Q59112	American historian and author (1912–1989)
Q183703	Croatian politician, soldier, president and historian (1922–1999)
Q608183	British dancer and choreographer (1908–1987)
Q1293908	American statistician (b.1942) noted for his writings on information design
Q142141	Marshal of the Soviet Union (1893—1937)
Q356696	British agricultural pioneer, activist of the British Agricultural Revolution
Q1934800	Nigerian musician
Q15027	politician and businessman from Hong Kong
Q296317	first Prime Minister of Malaysia (1903-1990)
Q1058090	Japanese comedy duo
Q406742	American boxer (1897-1978)
Q219734	Russian and Soviet aerospace engineer (1888-1972)
Q379840	Monarch of Tonga (1797–1893)
Q315279	Tatar poet
Q469314	African warlord and religious leader, founder of the Wassoulou Empire (1830–1900)
Q303216	French nobleman, general, Marshal of France
Q221303	French economist and statesman (1727–1781)
Q8050423	Turkish film director and screenwriter (born 1946)
Q284047	American model
Q3327092	Australian writer (1872–1958)
Q1975914	American actress (1885-1946)
Q208871	American musician (1931–2007)
Q222008	American actress (born 1954)
Q201034	American actress (1921–1995)
Q131814	American-born Swiss singer and songwriter (1939–2023)
Q977890	English highwayman (1705–1739)
Q740966	American sculptor (born 1943)
Q317205	14th-century BCE king of Mitanni
Q4116347	Iranian scholar
Q946	Prime Minister of Poland (2007–2014; since 2023)
Q219572	French artist (1761–1850)
Q192983	South Korean pop group
Q131433	Canadian country music singer and songwriter (born 1965)
Q20645861	South Korean girl group
Q229442	British model, actress and singer
Q159566	American painter, sculptor and photographer (1928–2011)
Q867206	French poet and bishop
Q235615	American novelist
Q156491	Welsh singer (born 1951)
Q311820	14th-century English rebel
Q141037	English anthropologist (1832–1917)
Q48283	Ukrainian politician, former Prime Minister
Q374900	English theatre critic and writer (1927-1980)
Q219639	English Bible translator and reformer
Q360808	Irish physicist (1820–1893)
Q6096	American rapper (born 1971)
Q238081	American actress (1924–2021)
Q79031	American boxer and media personality (born 1966)
Q310903	American astrophysicist and science communicator
Q229261	American sprinter
Q37217	Russian poet (1803–1873)
Q396	Irish rock band
Q1660081	High King of Ireland
Q549431	President of Guatemala (1878-1946)
Q192488	Italian painter (1397-1475)
Q238290	Japanese-British pianist, conductor (1948-)
Q316664	Japanese artistic gymnast
Q3633956	Indian Hindu philosopher and logician (c.975–1050)
Q206685	French comic book artist (1927–2020)
Q57179	German flying ace (1896–1941)
Q714175	Japanese writer (1734–1809)
Q128281	Japanese general (1856-1933)
Q312327	Japanese video game composer
Q275018	Japanese artist (1875-1949)
Q182130	Japanese aikidoka (1883-1969)
Q311080	Japanese daimyo
Q38636	American mathematician (born 1942)
Q62902	German pilot and sex shop entrepreneur (1919–2001)
Q7072099	Nigerian actor, model and musician
Q8666	Yuan and Northern Yuan emperor from 1333 to 1370
Q298033	Ukrainian poet, writer and feminist (1871–1913)
Q234357	Polish-American mathematician
Q28885	Soviet ballet dancer (1910-1998)
Q2628	German communist politician and dictator (1893–1973)
Q266661	Russian writer
Q191064	Norwegian actress, director, and screenwriter (born 1938)
Q60318	German jurist, writer and gay rights activist (1825–1895)
Q1058694	poet
Q153688	king of Italy (1844-1900)
Q187149	lieutenant of the Kingdom of Italy and last king of Italy
Q232588	Japanese-American actress and singer (1929–2007)
Q939297	Indigenous Australian inventor and writer (1872–1967)
Q185085	Spanish poet (1864–1936)
Q44304	American professional wrestler
Q4693154	American journalist (1902–1984)
Q215546	American singer and actor (born 1983)
Q80889	Norwegian writer (1882–1949)
Q8019622	African spree killer, killed 57 people at two separate slayings in 1954 and 1957
Q311802	Italian poet, writer and university teacher
Q558085	French illustrator and writer (1931–2019)
Q716029	American football player (1933–2002)
Q715796	English novelist (1930–2012)
Q105756	American novelist, poet (1932–2009)
Q3136554	Indian film actor
Q3175198	Disciple of Gautama Buddha
Q297417	Sumerian king
Q365919	Egyptian army officer and revolutionary (1841–1911)
Q171626	pope of the Catholic Church from 1378 to 1389 (1318–1389)
Q131579	235 pope of the Catholic Church from 1623 to 1644 (1568–1644)
Q471325	Venezuelan General (1788-1845)
Q358491	French writer (1568-1625)
Q187413	39.º President of Colombia from 2002 to 2010
Q363555	former de facto President of Argentina (1868-1932)
Q269129	American author (1924–2003)
Q315698	last ruler of the 1st Dynasty of Lagash
Q204735	French Navy officer and explorer (1790–1842)
Q165911	American R&B singer (born 1978)
Q2622325	Russian teacher and writer (1823–1870)
Q18066	Russian writer (1937–2018)
Q48067	Soviet military commander and politician (1908-1984)
Q55796	British actor, writer and director (1921–2004)
Q938027	Ukrainian boxer
Q234598	Japanese-American singer-songwriter
Q3521282	Raja of Singapura
Q272045	175?-1806 Japanese artist
Q541493	Soviet musician (1895–1982)
Q180398	Danish architect (1918–2008)
Q19658	Turkish-American online news show host (born 1970)
Q318320	Prime Minister of the Netherlands (1919–1987)
Q277663	South African film director, film producer, screenwriter and film editor (1921-1996)
Q2731767	ancient Indian philosopher
Q383420	French filmmaker (1928–2000)
Q236413	Russian ballerina and founder of a ballet teaching method (1879-1951)
Q548733	King of Thailand (2016–)
Q161389	King of Siam from 1910 to 1925
Q156889	French painter (1865—1938)
Q41129	Mexican actor, comedian and singer (1915-1973)
Q7290570	Mexican actor and comedian (1924–1988)
Q309725	Native-Latino American musician (1941–1959)
Q859065	American writer (born 1979)
Q46720	Roman emperor from 364 to 375
Q379664	Italian fashion designer (1932–2026)
Q200639	French poet, essayist, and philosopher (1871–1945)
Q272601	English writer (1922–1999)
Q2343604	Hindu philosopher and founder of Pushtimarg, a Vaishnav Hindu sect
Q222744	Peruvian writer
Q1505315	US circus artists and animal trainer (1808–1865)
Q11820	president of the United States from 1837 to 1841
Q308840	Belgian actor and martial artist (born 1960)
Q104779	Dutch physicist (1925–2011)
Q310295	American actor and comedian (born 1925)
Q233832	American actress (1915-1996)
Q190155	American rock band (1973–2020)
Q467653	Belgian archer (1866–1961)
Q166623	Dutch statesman and revolutionary (1547-1619)
Q323610	New York landowner, businessman, militia officer, and politician (1764-1839)
Q25186	American film director, producer, photographer and musician (born 1952)
Q193655	American physicist (1899–1980)
Q312632	American mystery and speculative fiction writer (1916–2013)
Q205485	English naval explorer (1757–1798)
Q284829	prominent American family
Q264730	American businesswoman, fashion designer, socialite and writer (1924-2019)
Q578647	American businessman and philanthropist (1821–1885)
Q311306	American R&B singer (1951–2005)
Q1790831	Angolan musician (1935-2006)
Q153172	Greek composer (1943-2022)
Q7914980	Indian actress
Q1388549	Cambodian writer (1925–2008)
Q48775	Israeli activist
Q945877	British professional golfer (1870–1937)
Q923582	Chilean biologist (1946-2001)
Q60215	German geographer
Q57247	French composer (1883-1965)
Q2596305	Marthanda Varma was the Maharajah of Travancore from 1729 to 1758.
Q333453	Indian painter from Kerala (1848–1906)
Q2283372	Maharajah of Travencore (1813-1846)
Q40688	Greek economist and politician
Q240885	French singer, chansonnier, and actress (born 1944)
Q154448	French-Hungarian painter and printmaker (1906–1997)
Q1091141	Mexican writer, philosopher, and politician (1881–1959)
Q150894	Marshal of the Soviet Union (1895-1977)
Q2533597	Soviet dancer
Q39180	3rd President of the Republic of Cyprus (1988-1993)
Q272156	Grand Prince of Moscow (1372-1425)
Q210359	Grand Prince of Moscow (1415-1462)
Q49686	Grand Prince of Moscow and All Rus' from 1505 to 1533
Q241900	ancient Indian sage
Q204138	Russian artist (1848-1926)
Q1028779	Spanish explorer
Q271974	Spanish explorer of the American southwest
Q430705	French chef (1631-1671)
Q380234	Indian logician, author of Kama Sutra
Q379797	Prime Minister of Laos (1907-1978)
Q192839	French military engineer (1633–1707)
Q545363	Welsh author, physician and metaphysical poet (1621–1695)
Q229513	American jazz and classical singer (1924–1990)
Q202937	American blues guitarist (1954–1990)
Q214926	Russian (Soviet) agronomist, botanist and geneticist (1887-1943)
Q1361936	Portuguese knight (c. 1450 – 1500)
Q310630	Bulgarian writer and poet (1850-1921)
Q9099	President of Uruguay from 2005 to 2010 and from 2015 to 2020
Q536558	American mathematician (1880–1960)
Q73646	American economist and sociologist (1857–1929)
Q555252	Indian bandit who was charged allegedly for sandalwood smuggling (1952-2004)
Q58801	German actor (1893–1943)
Q298180	French politician (1927–2017)
Q311431	President of Peru (1910-1977)
Q707171	President of Ecuador (1934 - 1935) / (1944 - 1947) / (1952 - 1956) / (1960 - 1961) / (1968 - 1972)
Q446854	Filipina singer and actress (born 1970)
Q310566	Spanish governor of Cuba
Q154083	Belgian painter, architect and interior designer (1863-1957)
Q267247	Mexican actress, dancer and vedette (1908—1944)
Q349749	Russian, Israeli and American author (1895–1979)
Q309983	Brazilian composer, singer, guitarist, writer, and political activist
Q202149	Dutch theoretical physicist (1931–2021)
Q103550	American rock band
Q5703331	American literary critic
Q205545	Greek politician, former Prime Minister of Greece (1864-1936)
Q311003	American biotechnologist and businessman
Q259378	British architect and linguist (1922-1956)
Q337260	Italian-French actor
Q212312	American architect (1925-2018)
Q508843	American dancer and actress (1925-2000)
Q127017	Russian painter (1842-1904)
Q271814	Italian writer (1840-1922)
Q259606	Dutch wheelchair tennis player
Q726681	French diplomat (1719-1787)
Q193680	Belgian poet (1855-1916)
Q129079	Dutch film director (born 1938)
Q12978	Prime Minister of Belgium from 1999 to 2008
Q755	French poet (1844-1896)
Q316371	Russian and Soviet mineralogist and geochemist, one of the founders of geochemistry, biogeochemistry, and of radiogeology
Q544602	Canadian magician (1894-1992)
Q9440	Italian painter of the Renaissance (1528–1588)
Q147676	Florentine explorer of North America for France
Q183458	15th century Italian sculptor, goldsmith and painter (c.1435-1488)
Q229437	Italian fashion designer
Q264490	Italian fashion designer (1946–1997)
Q516281	Ukrainian, Russian & Soviet artist, poet, singer, composer, cabaret artist and actor (1889-1957)
Q55193	Russian-Soviet documentary/avantgarde filmmaker (1896-1954)
Q64610	German model, actress and performance artist
Q297000	Prime Minister of South Africa from 1958 until his assassination in 1966
Q1419	ninth Roman Emperor and founder of the Flavian dynasty (69–79)
Q234125	Italian noblewoman
Q42311	German racing driver
Q726179	American sufferer of severe combined immunodeficiency (1971–1984)
Q229967	Italian fencer and politician
Q462644	French poet (1590-1696)
Q23721911	Ukrainian mathematician (born 1984)
Q295673	Canadian-American professor of economics and Nobel Laureate (1914-1996)
Q178709	Italian philosopher, rhetorician, historian and jurist
Q175250	King of Sardinia (1802-1821)
Q150642	King of Italy from 1900 to 1946
Q168691	King of Sardinia (1849–1861) and King of Italy (1861–1878)
Q311425	first president of Mexico (1786-1845)
Q215128	Spanish composer (c. 1548 – 1611)
Q311865	French geographer
Q167821	American writer (1925–2012)
Q815	Chilean politician (1898–1980)
Q75853	Argentine dictator (1925–2013)
Q122818	French criminal and criminalist
Q51133	American film director, film producer, and screenwriter (1894-1982)
Q159166	Indian film actress
Q964111	Philosopher, academic, writer, translator, entrepreneur, social reformer and philanthropist (1820-1891)
Q106164	President of Guinea-Bissau (1939-2009)
Q434497	American broadcast journalist and television personality (born 1953)
Q188623	French mathematician (*1540 – †1603)
Q189797	Icelandic politician, 4th President of Iceland
Q213163	French portrait painter (1755–1842)
Q213956	Norwegian sculptor (1869–1943)
Q2317903	Italian designer (1931-2014)
Q297565	Italian architect (1507–1573)
Q309702	French poet, playwright, and novelist (1797–1863)
Q55395	French film director (1905–1934)
Q528496	Indian film actor, director, business man, and Politician
Q7929271	Chola king
Q3595529	Indian actress and politician
Q439314	Swedish actress (born 1988)
Q297024	Greek businessman and writer; president of the International Olympic Committee (1835-1908)
Q644865	Swedish musical group; dansband
Q201515	Argentine tennis player
Q6357	New Zealand shot putter (1984-)
Q203514	Brazilian composer (1887–1959)
Q2563685	American water polo player and coach
Q219874	American disco group
Q1043186	Venezuelan architect (1900–1975)
Q886495	President of Bolivia (1908-1946)
Q9003150	Brazilian activists
Q954841	French actor (1943–1993)
Q366285	French writer (1838–1889)
Q3011889	South African cricketer
Q313817	politician from England (1592-1628)
Q965375	French writer (1929–2013)
Q82311	American rock musician (1935–1971)
Q272912	French architect (1814-1879)
Q266934	French fashion designer (1876–1975)
Q48174	ancient Roman statesman and general
Q52611	Finnish long-distance runner
Q233492	Canadian ice dancer
Q13888	Italian director (1906–1976)
Q2773345	Great Sage in Vedic Tradition
Q229606	Greek Cypriot singer
Q6343602	Indian director, screenwriter and actor
Q467347	Kongo Empire guérisseuse (1684-1706)
Q7563208	Pakistani band
Q362258	Russian singer
Q3401333	Sri Lankan film director
Q312384	Spanish philosopher
Q106881	Italian actress (1931–2022)
Q965888	Colombian singer
Q24030720	President of Peru from 2018 to 2020
Q682117	Sicilian mafia boss (1877-1954)
Q528781	Bulgarian musician (1899–1978)
Q2994254	Metropolitan of Kyiv and Gallich (1915–1918), Metropolitan of Moscow (1898–1912)
Q315059	Canadian-American science fiction writer (1912–2000)
Q167520	American actor (born 1938)
Q468049	French mathematician
Q63945	German firearm designer (1885–1961)
Q317110	Italian actor (1933–1994)
Q358885	Russian poet (1877-1932)
Q216812	Italian mathematician and mathematical physicist (1860-1940)
Q272438	Belgian-born American fashion designer (born 1946)
Q84233	Austrian-American economist (1881–1973)
Q244214	American Egyptian burlesque dancer and model (born 1972)
Q234255	American writer
Q312673	Dutch poet and writer (1587-1679)
Q379794	King of Laos (1885-1959)
Q10068	American alpine skier (born 1984)
Q7934824	Indian merchant
Q186185	Soviet marshal and politician
Q2893939	Iranian actor
Q848595	Russian-American linguist and philologist (1961–2022)
Q450619	American magazine editor (1903–1989)
Q160192	Dutch botanist (1848-1935)
Q348689	Grand Prince of Vladimir, 1176-1212
Q1284975	Croatian-born Argentine police official, pioneer in fingerprint classification systems
Q277616	French fashion designer and businessman (1821–1892)
Q467977	Indian actress, dancer and parliamentarian
Q571646	founder of Alcoholics Anonymous (1895–1971)
Q195719	American film directors, screenwriters, and producers
Q31683	American basketball player
Q453399	British linguist (1818–1895)
Q192789	American who was the tallest recorded person in history
Q96376	German chemist (1901–1977)
Q1316903	American baseball player (1874-1955)
Q84287	Austrian architect (1841-1918)
Q310493	American actor (born 1930)
Q3249625	Pakistani film actor, producer and script writer (1938–1983)
Q76167	4th President of the Republic of Indonesia (1940–2009)
Q164119	American actor
Q2388576	New Zealand filmmaker, actor, and comedian (born 1975)
Q184805	American singer-songwriter and actor (born 1949)
Q106685	Polish film director (1926–2016)
Q508568	British former doctor
Q334239	English surgeon and reformer (died 1862)
Q232308	American scientist, biochemist, microbiologist who discovered Streptomycin and many antibiotics
Q132701	Saint Lucian–Trinidadian poet and playwright (1930–2017)
Q1260	Austrian politician and diplomat (1918–2007)
Q345360	Swedish table tennis player
Q3177364	New Zealand legal philosopher
Q57197	German cartographer
Q240109	Polish trade union activist, co-founder of the "Solidarity" (1929-2010)
Q9685	member of the British royal family and Princess of Wales (1961–1997)
Q181	co-founder of Wikipedia (born 1966)
Q135392	Kazakhstani ethnographer (1835–1865)
Q185051	American actor (born 1943)
Q215868	American author and activist (born 1944)
Q178917	Royal Navy captain (1896–1944)
Q18599860	American statistician
Q3182985	Indian actor (1926–2003)
Q444277	American painter and installation artist (born 1969)
Q447716	American entrepreneur (1867-1919)
Q1236772	American poet and writer (1915-1998)
Q443495	British motorsport commentator and journalist (1923–2021)
Q468676	American writer
Q196401	American filibuster, physician, lawyer, journalist and mercenary (1824-1860)
Q313246	American fiction writer and essayist (1962–2008)
Q5244201	Co-founder of Reader's Digest (1889-1981)
Q271824	British crime writer, journalist and playwright (1875–1932)
Q313776	45th Governor of Alabama (1919–1998)
Q251666	American politician (1888–1965); Vice President of the United States from 1941 to 1945
Q1824903	American publisher (1889–1984)
Q325487	American journalist, game show host and actor (1918–2012)
Q82457	Scottish knight and leading figure in the First War of Scottish Independence
Q152850	Swedish architect, businessman, diplomat and humanitarian (1912-1947)
Q1632482	German stunt performer (1905-1978)
Q2412207	American acrobat, aerialist, daredevil, and high wire artist
Q153545	Bohemian military leader and statesman who fought on the Catholic side during the Thirty Years' War (1583-1634)
Q310476	American jazz pianist and composer (1904–1943)
Q494287	American sociologist and economic historian (1930–2019)
Q359665	English actor, comedian and writer
Q472520	American film producer and art collector (1898–1986)
Q208359	English mathematician (*1616 – †1703)
Q433993	Royal Naval explorer (1728-1795)
Q309903	English writer and politician (1717–1797)
Q13509	French mathematical economist (*1834 – †1910)
Q714483	American oceanographer (1931–2023)
Q232666	American professional beach volleyball player
Q72756	American film director and actor (1887–1980)
Q193111	Finnish writer (1908–1979)
Q22717	German association football player (1920–2002)
Q322295	British publisher; founder of The Times newspaper of London (1738-1812)
Q231417	American broadcast journalist (1929–2022)
Q44385	German minstrel singer (c. 1170 – c. 1230)
Q183631	Irish physicist and Nobel laureate (1903-1995)
Q310939	English composer (1902–1983)
Q946220	American racing driver
Q76819	Austrian and German actor
Q233112	American soccer player (born 1980)
Q10865150	Chinese animator
Q92926	American businessman (1920–1990)
Q319618	Song Dynasty chancellor and poet (1021-1086)
Q1275321	Tang Dynasty poet
Q610054	Chinese protester
Q9312298	Chinese actress (1924-2018)
Q835720	Chinese explorer
Q64543	Chairman of the Chinese People's Political Consultative Conference
Q706855	Chinese military general from the state of Qin during the Warring States period
Q2105413	Chinese businessman
Q22303	Chinese politician, leader of Wang Jingwei regime (1883-1944)
Q7250	Han dynasty official and founding Emperor of the Xin Dynasty (c.45 BC-23 AD)
Q699327	Chinese politician (1904-1974)
Q230693	Chinese table tennis player (1978-)
Q627017	Chinese playwright
Q336620	Chinese architect (b.1963)
Q716074	Yuan dynasty officer and inventor, fl. 1333
Q298020	King of Bhutan (1929-1972)
Q57376	fifth and reigning King of Bhutan
Q200273	King of Bhutan from 1972–2006
Q333866	king of Bhutan (1862-1926)
Q318177	King of Bhutan (1906-1952)
Q15516	Kenyan athlete (1986–2011)
Q77097	German mechanical engineer, inventor of the Wankel engine (1902-1988)
Q2721113	Sudanese painter and graphic artist (1925–2007)
Q380184	Muslim general (c. 595 – 674)
Q76464	German physiologist, medical doctor and Nobel laureate (1883–1970)
Q70140	American banker (1868-1932)
Q3177574	American writer
Q679184	American sociologist and paleontologist (1841-1913)
Q7782092	African-American playwright (1902-1983)
Q555240	Australian cricketer (1969–2022)
Q945750	American football player (born 1971)
Q1384655	American film studio executive (1887-1927)
Q1344392	American computer scientist, inventor and technology businessman (1940–2023)
Q237354	American songwriter (born 1956)
Q311197	Chief Justice of the Supreme Court of the United States from 1953 to 1969 (1891–1974)
Q717236	American husband-and-wife paranormal investigators
Q15334852	nurse, poet and artist (born 1959)
Q312720	American poet, novelist, and literary critic (1905-1989)
Q6750439	Indian actress
Q1971218	English literary historian, critic, poet (1728-1790)
Q234695	American singer (born 1940)
Q6759414	American psychologist and scholar (1871-1939)
Q2278483	American archaeologist, anthropologist, prehistorian and paleoanthropologist (1911–2000)
Q42101	American actor, producer, and director (born 1954)
Q229322	American singer, songwriter, pianist (1924-1963)
Q2366114	American inventor and businessman of Anglo-Belgian origin (1871–1946)
Q191789	First Lady of the United States from 1789 to 1797
Q960697	American gang member (1953–1979)
Q982801	Pakistani cricketer
Q1361763	American studio executive and talent agent (1913-2002)
Q450050	American playwright (1950–2006)
Q212754	English painter (1849–1917)
Q242725	American blues, jazz and gospel vocalist and actress (1896-1977)
Q314926	American filmmaker, actor, comedian and writer (born 1946)
Q220707	American blues musician (1913–1983)
Q180861	English musician, co-founder of Pink Floyd (born 1943)
Q2939083	American photographer (1829–1916)
Q325437	Welsh poet (1906–1967)
Q3704363	Australian water polo player and coach
Q39476	English model, activist, and former actress (born 1990)
Q435716	USA IBM executive and art collector (1874-1956)
Q532111	American golfer (born 1949)
Q348772	American comic artist
Q354867	British American author and lecturer (1915–1973)
Q537034	English hymnwriter, theologian and logician (1674-1748)
Q107002	British writer and journalist (1903–1966)
Q735048	Australian cricketer
Q173139	President of Liberia from 2018 to 2024 (born 1966)
Q102124	American actress (born 1949)
Q1346239	American investigative journalist (1955–2004)
Q187480	English football referee
Q271024	Australian golfer
Q964345	English steamship captain and Channel swimmer (1848–1883)
Q154812	German Romantic composer (1786–1826)
Q76889	German psychologist (1795–1878)
Q462440	American actor/film director (1879-1939)
Q76707	German physicist (1804–1891)
Q190933	Austrian composer and conductor
Q106231	14th and 19th United States Secretary of State (1782–1852)
Q225904	English dramatist (1578-1634)
Q368720	American attorney and jurist, former Chairperson of the Homeland Security Advisory Council (1924–2025)
Q451248	American psychologist and academic (1896–1981)
Q5026602	British anthropologist (1901-1955)
Q445857	American photographer (1899–1968)
Q2121062	Canadian singer and songwriter (born 1990)
Q445198	Thai film director, screenwriter, and film producer (born 1970)
Q209956	American rock band
Q318130	Chinese democracy activist and dissident
Q701330	Han dynasty general
Q719348	Canadian bodybuilder and businessman (1919–2013)
Q2438228	American choreographer (1901–1975)
Q323232	French mathematician (1906-1998)
Q157309	French philosopher, writer, and social activist (1909–1943)
Q55004	German composer (1900–1950)
Q179282	American theoretical physicist (1933-2021)
Q531599	American film producer and sex offender (born 1952)
Q55424	Australian film director (born 1944)
Q159481	German philosopher and founder of the Illuminati (1748–1830)
Q76465	German evolutionary biologist (1834-1914)
Q2128461	American physicist (1932–2025)
Q134077	British actress (born 1970)
Q172183	Israeli statesman and British chemist (1874–1952)
Q26419	Archbishop of Canterbury from 2013 to 2025
Q355314	American executive: General Electric CEO (1935–2020)
Q229545	American actress (1940–2023)
Q174743	American physician and scientist (1850–1934)
Q2157757	American abolitionist (1803–1895)
Q478450	American writer and activist (1871–1938)
Q296577	American actor (born 1946)
Q213680	Austrian, later British composer, teacher and musicologist (1885-1974)
Q76897	German theologian and orientalist (1844–1918)
Q364220	American businessman (1805-1878)
Q289428	American journalist and civil rights activist (1862–1931)
Q2558023	Augsburg mercantile family
Q178403	Scottish writer
Q259364	American short story writer, novelist and photographer (1909-2001)
Q561973	22nd ruler of Jin from 636 to 628 BCE
Q16628	6th Premier of the People's Republic of China from 2004 to 2013
Q306673	chinese painter, calligrapher and poet from the Ming dynasty (1470-1559)
Q155581	King of Bohemia and Poland
Q196527	duke and saint
Q2562259	West Papuan activist
Q55411	German filmmaker (born 1945)
Q1235864	Contemporary Samoan poet and writer (born 1939)
Q47576	French football manager
Q519143	American magazine founder
Q963153	Australian poet, explorer, journalist and politician (1790-1872)
Q2165671	Chinese Buddhist philosopher
Q78514	Austrian-Bohemian novelist, playwright and poet (1890-1945)
Q58751	German geologist (1749-1817)
Q123014	Swiss chemist Nobel laureate (1866-1919)
Q238769	German equestrian
Q529939	German-American psychiatrist (1895-1981)
Q349070	English Methodist and hymn writer (1707-1788)
Q458504	Dominican Republic politician and general (1924-2009)
Q3701558	American gunsmith (1825–1906)
Q351156	American actor (1928–2017)
Q712469	American philosopher, political activist and writer (born 1953)
Q371930	American writer (1907-1998)
Q48399950	American mathematician (1930–2026)
Q311195	American basketball player and executive (1938-2024)
Q15935	American rapper and record producer (born 1977)
Q669908	British philologist and classical scholar (1937–2015)
Q370521	American writer and screenwriter (1903–1940)
Q236669	British writer, journalist, literary critic, and feminist (1892-1983)
Q722835	Finnish academic (1862–1939)
Q298793	United States Army general (1914-2005)
Q6205550	American roller derby skater (1935-1997)
Q158067	British fashion designer (1941–2022)
Q547828	Boer general, rebel and politician (1854-1922)
Q68631	early Netherlandish painter (c. 1399–1464)
Q91842	German-American industrialist (1834-1914)
Q381831	British-born American film director
Q21176511	Filipino tattoo artist
Q257911	first African-American poet (1753–1784)
Q156942	British scientist and inventor (1802–1875)
Q298025	American director, screenwriter, and producer (born 1964)
Q121496	American mathematician (1883–1966)
